name,coordinates,website,status,csd_type,census_div,land_area_km,population_1996,population_2001,population_2006,population_2011,population_2016,population_2021,density_1996,density_2001,density_2006,density_2011,density_2016,density_2021,pop_change_1996_2001_pct,pop_change_2001_2006_pct,pop_change_2006_2011_pct,pop_change_2011_2016_pct,pop_change_2016_2021_pct
Minden Hills,"44.933333, -78.733333",https://www.mindenhills.ca,lower-tier,township,Haliburton,847.37,5336,5312,5556,5655,6088,6971,6.30,6.27,6.56,6.67,7.18,8.23,-0.0045,0.0459,0.0178,0.0766,0.1450
Minto,"43.916667, -80.866667",https://town.minto.on.ca,lower-tier,town,Wellington,300.19,7854,8164,8504,8334,8671,9094,26.16,27.20,28.33,27.76,28.89,30.29,0.0395,0.0416,-0.0200,0.0404,0.0488
Mississauga,"43.6, -79.65",https://www.mississauga.ca,lower-tier,city,Peel,292.74,544382,612925,668599,713443,721599,717961,1859.61,2093.75,2283.93,2437.12,2464.98,2452.56,0.1259,0.0908,0.0671,0.0114,-0.0050
Mississippi Mills,"45.216667, -76.2",https://www.mississippimills.ca,lower-tier,town,Lanark,511.25,11069,11647,11734,12385,13163,14740,21.65,22.78,22.95,24.22,25.75,28.83,0.0522,0.0075,0.0555,0.0628,0.1198
Mono,"44.016667, -80.066667",https://townofmono.com,lower-tier,town,Dufferin,278.37,6552,6922,7071,7546,8609,9421,23.54,24.87,25.40,27.11,30.93,33.84,0.0565,0.0215,0.0672,0.1409,0.0943
Montague,"44.966667, -75.966667",https://www.montaguetownship.ca,lower-tier,township,Lanark,278.47,2802,3671,3209,3483,3761,3914,10.06,13.18,11.52,12.51,13.51,14.06,0.3101,-0.1259,0.0854,0.0798,0.0407
Moonbeam,"49.35, -82.15",https://www.moonbeam.ca,single-tier,township,Cochrane,234.46,1322,1201,1298,1101,1231,1157,5.64,5.12,5.54,4.70,5.25,4.93,-0.0915,0.0808,-0.1518,0.1181,-0.0601
Moosonee,"51.334167, -80.721111",http://www.moosonee.ca,single-tier,town,Cochrane,547.83,1939,1916,2006,1725,1481,1512,3.54,3.50,3.66,3.15,2.70,2.76,-0.0119,0.0470,-0.1401,-0.1414,0.0209
Morley,"48.833333, -94.166667",https://townshipofmorley.ca,single-tier,township,Rainy River,388.38,478,447,492,508,481,493,1.23,1.15,1.27,1.31,1.24,1.27,-0.0649,0.1007,0.0325,-0.0531,0.0249
Morris-Turnberry,"43.85, -81.25",https://morristurnberry.ca,lower-tier,municipality,Huron,376.89,3504,3413,3403,3413,3496,3590,9.30,9.06,9.03,9.06,9.28,9.53,-0.0260,-0.0029,0.0029,0.0243,0.0269
Mulmur,"44.1917, -80.1083",https://mulmur.ca,lower-tier,township,Dufferin,286.17,2903,3099,3318,3391,3478,3571,10.14,10.83,11.59,11.85,12.15,12.48,0.0675,0.0707,0.0220,0.0257,0.0267
Muskoka Lakes,"45.116667, -79.583333",https://www.muskokalakes.ca,lower-tier,township,Muskoka,774.46,6061,6042,6467,6707,6588,7652,7.83,7.80,8.35,8.66,8.51,9.88,-0.0031,0.0703,0.0371,-0.0177,0.1615
Nairn and Hyman,"46.35, -81.633333",https://nairncentre.ca,single-tier,township,Sudbury,159.18,456,420,493,477,342,373,2.86,2.64,3.10,3.00,2.15,2.34,-0.0789,0.1738,-0.0325,-0.2830,0.0906
The Nation,"45.35, -75.0333",https://nationmun.ca,lower-tier,municipality,Prescott and Russell,658.93,10478,10599,10662,11668,12808,13350,15.90,16.09,16.18,17.71,19.44,20.26,0.0115,0.0059,0.0944,0.0977,0.0423
Neebing,"48.183333, -89.466667",https://www.neebing.org,single-tier,municipality,Thunder Bay,873.78,2102,2049,2184,1986,2055,2241,2.41,2.34,2.50,2.27,2.35,2.56,-0.0252,0.0659,-0.0907,0.0347,0.0905
New Tecumseth,"44.083333, -79.75",https://www.newtecumseth.ca,lower-tier,town,Simcoe,273.87,22904,26141,27701,30234,34242,43948,83.63,95.45,101.15,110.40,125.03,160.47,0.1413,0.0597,0.0914,0.1326,0.2835
Newbury,"42.683333, -81.797222",https://newbury.ca,lower-tier,village,Middlesex,1.77,430,422,439,447,466,440,242.94,238.42,248.02,252.54,263.28,248.59,-0.0186,0.0403,0.0182,0.0425,-0.0558
Newmarket,"44.058056, -79.458333",https://newmarket.ca,lower-tier,town,York,38.50,57125,65788,74295,79978,84224,87942,1483.77,1708.78,1929.74,2077.35,2187.64,2284.21,0.1516,0.1293,0.0765,0.0531,0.0441
Niagara Falls,"43.06, -79.106667",https://niagarafalls.ca,lower-tier,city,Niagara,210.25,76917,78815,82184,82997,88071,94415,365.84,374.86,390.89,394.75,418.89,449.06,0.0247,0.0427,0.0099,0.0611,0.0720
Niagara-on-the-Lake,"43.255278, -79.071667",https://www.notl.com,lower-tier,town,Niagara,131.35,13238,13839,14587,15400,17511,19088,100.78,105.36,111.05,117.24,133.32,145.32,0.0454,0.0541,0.0557,0.1371,0.0901
Nipigon,"49.015278, -88.268333",https://www.nipigon.net,single-tier,township,Thunder Bay,107.94,2210,1964,1752,1631,1642,1473,20.47,18.20,16.23,15.11,15.21,13.65,-0.1113,-0.1079,-0.0691,0.0067,-0.1029
Nipissing,"46.05, -79.55",https://nipissingtownship.com,single-tier,township,Parry Sound,387.95,1333,1278,1642,1704,1707,1769,3.44,3.29,4.23,4.39,4.40,4.56,-0.0413,0.2848,0.0378,0.0018,0.0363
Norfolk,"42.85, -80.266667",https://www.norfolkcounty.ca,single-tier,city,Haldimand-Norfolk,1597.68,60534,60847,62563,63175,64044,67490,37.89,38.08,39.16,39.54,40.09,42.24,0.0052,0.0282,0.0098,0.0138,0.0538
North Algona Wilberforce,"45.618333, -77.220278",http://nalgonawil.com,lower-tier,township,Renfrew,369.23,2595,2729,2840,2873,2915,3111,7.03,7.39,7.69,7.78,7.89,8.43,0.0516,0.0407,0.0116,0.0146,0.0672
North Bay,"46.309167, -79.461389",https://www.northbay.ca,single-tier,city,Nipissing,315.53,54332,52771,53966,53651,51553,52662,172.19,167.25,171.03,170.03,163.39,166.90,-0.0287,0.0226,-0.0058,-0.0391,0.0215
North Dumfries,"43.32, -80.38",https://www.northdumfries.ca,lower-tier,township,Waterloo,188.09,7817,8769,9063,9334,10215,10619,41.56,46.62,48.18,49.63,54.31,56.46,0.1218,0.0335,0.0299,0.0944,0.0395
North Dundas,"45.083333, -75.3475",https://www.northdundas.com,lower-tier,township,"Stormont, Dundas and Glengarry",502.41,11064,11014,11095,11225,11278,11304,22.02,21.92,22.08,22.34,22.45,22.50,-0.0045,0.0074,0.0117,0.0047,0.0023
North Frontenac,"44.95, -76.9",https://www.northfrontenac.com,lower-tier,township,Frontenac,1157.97,1773,1801,1904,1857,1903,2285,1.53,1.56,1.64,1.60,1.64,1.97,0.0158,0.0572,-0.0247,0.0248,0.2007
North Glengarry,"45.333333, -74.733333",https://www.northglengarry.ca,lower-tier,township,"Stormont, Dundas and Glengarry",643.40,10801,10589,10635,10251,10109,10144,16.79,16.46,16.53,15.93,15.71,15.77,-0.0196,0.0043,-0.0361,-0.0139,0.0035
North Grenville,"44.966667, -75.65",https://www.northgrenville.ca,lower-tier,municipality,Leeds and Grenville,351.90,12648,13581,14198,15085,16451,17964,35.94,38.59,40.35,42.87,46.75,51.05,0.0738,0.0454,0.0625,0.0906,0.0920
North Huron,"43.83, -81.42",https://www.northhuron.ca,lower-tier,township,Huron,179.01,5099,4984,5015,4884,4932,5052,28.48,27.84,28.02,27.28,27.55,28.22,-0.0226,0.0062,-0.0261,0.0098,0.0243
North Kawartha,"44.75, -78.1",https://www.northkawartha.ca,lower-tier,township,Peterborough,746.35,2104,2144,2342,2289,2479,2877,2.82,2.87,3.14,3.07,3.32,3.85,0.0190,0.0924,-0.0226,0.0830,0.1605
North Middlesex,"43.15, -81.633333",https://northmiddlesex.on.ca,lower-tier,municipality,Middlesex,598.65,6978,6901,6740,6658,6352,6307,11.66,11.53,11.26,11.12,10.61,10.54,-0.0110,-0.0233,-0.0122,-0.0460,-0.0071
North Perth,"43.73, -80.95",https://www.northperth.ca,lower-tier,municipality,Perth,493.09,11808,12055,12254,12631,13130,15538,23.95,24.45,24.85,25.62,26.63,31.51,0.0209,0.0165,0.0308,0.0395,0.1834
The North Shore,"46.233333, -82.633333",https://townshipofthenorthshore.ca,single-tier,township,Algoma,230.17,678,544,549,509,497,531,2.95,2.36,2.39,2.21,2.16,2.31,-0.1976,0.0092,-0.0729,-0.0236,0.0684
North Stormont,"45.216667, -75",https://www.northstormont.ca,lower-tier,township,"Stormont, Dundas and Glengarry",515.46,6900,6855,6769,6775,6873,7400,13.39,13.30,13.13,13.14,13.33,14.36,-0.0065,-0.0125,0.0009,0.0145,0.0767
Northeastern Manitoulin and the Islands,"45.966667, -81.933333",https://www.townofnemi.on.ca,single-tier,municipality,Manitoulin,489.19,,,2711,2706,2712,2641,,,5.54,5.53,5.54,5.40,,,-0.0018,0.0022,-0.0262
Northern Bruce Peninsula,"45.0992, -81.4069",https://www.northbrucepeninsula.ca,lower-tier,municipality,Bruce,775.70,3500,3599,3850,3744,3999,4404,4.51,4.64,4.96,4.83,5.16,5.68,0.0283,0.0697,-0.0275,0.0681,0.1013
Norwich,"42.983333, -80.6",https://www.norwich.ca,lower-tier,township,Oxford,424.01,10611,10478,10481,10721,10835,11151,25.03,24.71,24.72,25.28,25.55,26.30,-0.0125,0.0003,0.0229,0.0106,0.0292
Oakville,"43.456389, -79.713889",https://www.oakville.ca,lower-tier,town,Halton,138.94,128405,144738,165613,182520,193832,213759,924.18,1041.73,1191.97,1313.66,1395.08,1538.50,0.1272,0.1442,0.1021,0.0620,0.1028
O'Connor,"48.366667, -89.7",https://www.oconnortownship.ca,single-tier,township,Thunder Bay,108.56,739,724,720,685,663,689,6.81,6.67,6.63,6.31,6.11,6.35,-0.0203,-0.0055,-0.0486,-0.0321,0.0392
Oil Springs,"42.783333, -82.116667",https://www.oilsprings.ca,lower-tier,village,Lambton,8.14,773,758,717,704,648,647,94.96,93.12,88.08,86.49,79.61,79.48,-0.0194,-0.0541,-0.0181,-0.0795,-0.0015
Oliver Paipoonge,"48.39, -89.52",https://www.oliverpaipoonge.ca,single-tier,municipality,Thunder Bay,350.51,5907,5862,5757,5732,5922,6035,16.85,16.72,16.42,16.35,16.90,17.22,-0.0076,-0.0179,-0.0043,0.0331,0.0191
Opasatika,"49.533333, -82.866667",https://www.opasatika.net,single-tier,township,Cochrane,327.09,349,325,280,214,226,200,1.07,0.99,0.86,0.65,0.69,0.61,-0.0688,-0.1385,-0.2357,0.0561,-0.1150
Orangeville,"43.915278, -80.108611",https://www.orangeville.ca,lower-tier,town,Dufferin,15.16,21498,25248,26925,27975,28900,30167,1418.07,1665.44,1776.06,1845.32,1906.33,1989.91,0.1744,0.0664,0.0390,0.0331,0.0438
Orillia,"44.604167, -79.423889",https://www.orillia.ca,single-tier,city,Simcoe,28.53,27846,29121,30259,30586,31166,33411,976.03,1020.72,1060.60,1072.06,1092.39,1171.08,0.0458,0.0391,0.0108,0.0190,0.0720
Oro-Medonte,"44.566667, -79.583333",https://www.oro-medonte.ca,lower-tier,township,Simcoe,585.42,16698,18315,20031,20078,21036,23017,28.52,31.29,34.22,34.30,35.93,39.32,0.0968,0.0937,0.0023,0.0477,0.0942
Oshawa,"43.900556, -78.857222",https://www.oshawa.ca,lower-tier,city,Durham,145.72,134364,139051,141590,149607,159458,175383,922.07,954.23,971.66,1026.67,1094.28,1203.56,0.0349,0.0183,0.0566,0.0658,0.0999
Otonabee–South Monaghan,"44.233333, -78.233333",https://www.osmtownship.ca,lower-tier,township,Peterborough,346.15,6749,6669,6812,6581,6670,7087,19.50,19.27,19.68,19.01,19.27,20.47,-0.0119,0.0214,-0.0339,0.0135,0.0625
Ottawa,"45.424722, -75.695",https://ottawa.ca,single-tier,city,Ottawa,2788.20,721136,774072,812129,883391,934243,1017449,258.64,277.62,291.27,316.83,335.07,364.91,0.0734,0.0492,0.0877,0.0576,0.0891
Owen Sound,"44.566667, -80.933333",https://www.owensound.ca,lower-tier,city,Grey,24.21,21390,21431,21753,21688,21341,21612,883.52,885.21,898.51,895.83,881.50,892.69,0.0019,0.0150,-0.0030,-0.0160,0.0127
Papineau-Cameron,"46.3, -78.733333",http://papineaucameron.ca,single-tier,township,Nipissing,564.23,973,997,1058,978,1016,982,1.72,1.77,1.88,1.73,1.80,1.74,0.0247,0.0612,-0.0756,0.0389,-0.0335
Parry Sound,"45.353889, -80.036111",https://www.parrysound.ca,single-tier,town,Parry Sound,13.10,6326,6124,5818,6191,6408,6879,482.90,467.48,444.12,472.60,489.16,525.11,-0.0319,-0.0500,0.0641,0.0351,0.0735
Pelee,"41.775, -82.659722",https://www.pelee.org,single-tier,township,Essex,41.03,283,256,287,171,235,230,6.90,6.24,6.99,4.17,5.73,5.61,-0.0954,0.1211,-0.4042,0.3743,-0.0213
Pelham,"43.033333, -79.333333",https://www.pelham.ca,lower-tier,town,Niagara,126.35,14343,15272,16155,16598,17110,18192,113.52,120.87,127.86,131.37,135.42,143.98,0.0648,0.0578,0.0274,0.0308,0.0632
Pembroke,"45.816667, -77.1",https://pembroke.ca,single-tier,city,Renfrew,14.32,14177,13490,13930,14360,13882,14364,990.01,942.04,972.77,1002.79,969.41,1003.07,-0.0485,0.0326,0.0309,-0.0333,0.0347
Penetanguishene,"44.766667, -79.933333",https://www.penetanguishene.ca,lower-tier,town,Simcoe,25.42,7291,8316,9354,9111,8962,10077,286.82,327.14,367.98,358.42,352.56,396.42,0.1406,0.1248,-0.0260,-0.0164,0.1244
Perry,"45.5, -79.283333",https://townshipofperry.ca,single-tier,township,Parry Sound,186.34,2215,2252,2010,2317,2454,2650,11.89,12.09,10.79,12.43,13.17,14.22,0.0167,-0.1075,0.1527,0.0591,0.0799
Perth,"44.9, -76.25",https://www.perth.ca,lower-tier,town,Lanark,12.21,5886,6003,5907,5840,5930,6469,482.06,491.65,483.78,478.30,485.67,529.81,0.0199,-0.0160,-0.0113,0.0154,0.0909
Perth East,"43.47, -80.95",http://www.pertheast.on.ca,lower-tier,township,Perth,711.93,12089,12218,11986,12011,12277,12595,16.98,17.16,16.84,16.87,17.24,17.69,0.0107,-0.0190,0.0021,0.0221,0.0259
Perth South,"43.3, -81.15",https://www.perthsouth.ca,lower-tier,township,Perth,391.88,4343,4299,5907,3993,3805,3776,11.08,10.97,15.07,10.19,9.71,9.64,-0.0101,0.3740,-0.3240,-0.0471,-0.0076
Petawawa,"45.9, -77.283333",https://www.petawawa.ca,lower-tier,town,Renfrew,164.70,6540,14398,14651,15988,17187,18160,39.71,87.42,88.96,97.07,104.35,110.26,1.2015,0.0176,0.0913,0.0750,0.0566
Peterborough,"44.301111, -78.333333",https://www.peterborough.ca,single-tier,city,Peterborough,64.76,69742,71446,75406,78777,81032,83651,1076.93,1103.24,1164.39,1216.45,1251.27,1291.71,0.0244,0.0554,0.0447,0.0286,0.0323
Petrolia,"42.883333, -82.141667",http://town.petrolia.on.ca,lower-tier,town,Lambton,12.46,4908,4849,5222,5528,5742,6013,393.90,389.17,419.10,443.66,460.83,482.58,-0.0120,0.0769,0.0586,0.0387,0.0472
Pickering,"43.8354, -79.089",https://www.pickering.ca,lower-tier,city,Durham,231.10,78939,87139,87838,88721,91771,99186,341.58,377.06,380.09,383.91,397.11,429.19,0.1039,0.0080,0.0101,0.0344,0.0808
Pickle Lake,"51.466667, -90.183333",https://picklelake.ca,single-tier,township,Kenora,247.21,544,399,479,425,388,398,2.20,1.61,1.94,1.72,1.57,1.61,-0.2665,0.2005,-0.1127,-0.0871,0.0258
Plummer Additional,"46.366667, -83.766667",https://plummertownship.ca,single-tier,township,Algoma,219.24,693,671,625,650,660,757,3.16,3.06,2.85,2.96,3.01,3.45,-0.0317,-0.0686,0.0400,0.0154,0.1470
Plympton–Wyoming,"43.016667, -82.083333",https://www.plympton-wyoming.com,lower-tier,town,Lambton,318.86,7344,7359,7506,7576,7795,8308,23.03,23.08,23.54,23.76,24.45,26.06,0.0020,0.0200,0.0093,0.0289,0.0658
Point Edward,"42.993056, -82.408333",https://www.villageofpointedward.com,lower-tier,village,Lambton,3.30,2257,2101,2019,2034,2037,1930,683.94,636.67,611.82,616.36,617.27,584.85,-0.0691,-0.0390,0.0074,0.0015,-0.0525
Port Colborne,"42.883333, -79.25",https://www.portcolborne.ca,lower-tier,city,Niagara,121.99,15477,18450,18599,18424,18306,20033,126.87,151.24,152.46,151.03,150.06,164.22,0.1921,0.0081,-0.0094,-0.0064,0.0943
Port Hope,"43.95, -78.3",https://www.porthope.ca,lower-tier,municipality,Northumberland,278.80,11698,15605,16390,16214,16753,17294,41.96,55.97,58.79,58.16,60.09,62.03,0.3340,0.0503,-0.0107,0.0332,0.0323
Powassan,"46.0825, -79.361944",http://www.powassan.net,single-tier,municipality,Parry Sound,223.26,3311,3252,3309,3378,3455,3346,14.83,14.57,14.82,15.13,15.48,14.99,-0.0178,0.0175,0.0209,0.0228,-0.0315
Prescott,"44.716667, -75.516667",https://www.prescott.ca,single-tier,town,Leeds and Grenville,4.94,4480,4228,4180,4284,4222,4078,906.88,855.87,846.15,867.21,854.66,825.51,-0.0563,-0.0114,0.0249,-0.0145,-0.0341
Prince,"46.533333, -84.5",https://www.princetownship.ca,single-tier,township,Algoma,84.98,971,1010,971,1031,1010,975,11.43,11.89,11.43,12.13,11.89,11.47,0.0402,-0.0386,0.0618,-0.0204,-0.0347
Prince Edward,"44, -77.25",https://www.thecounty.ca,single-tier,city,Prince Edward,1052.61,25046,24901,25496,25258,24735,25704,23.79,23.66,24.22,24.00,23.50,24.42,-0.0058,0.0239,-0.0093,-0.0207,0.0392
Puslinch,"43.45, -80.166667",https://puslinch.ca,lower-tier,township,Wellington,214.82,5416,5885,6689,7029,7336,7944,25.21,27.40,31.14,32.72,34.15,36.98,0.0866,0.1366,0.0508,0.0437,0.0829
Quinte West,"44.183333, -77.566667",https://quintewest.ca,single-tier,city,Hastings,495.45,41676,41409,42697,43086,43577,46560,84.12,83.58,86.18,86.96,87.95,93.98,-0.0064,0.0311,0.0091,0.0114,0.0685
Rainy River,"48.716667, -94.566667",http://www.rainyriver.ca,single-tier,town,Rainy River,3.12,1008,981,909,842,807,752,323.08,314.42,291.35,269.87,258.65,241.03,-0.0268,-0.0734,-0.0737,-0.0416,-0.0682
Ramara,"44.633333, -79.216667",https://www.ramara.ca,lower-tier,township,Simcoe,414.94,7812,8615,9427,9275,9488,10377,18.83,20.76,22.72,22.35,22.87,25.01,0.1028,0.0943,-0.0161,0.0230,0.0937
Red Lake,"51.033333, -93.833333",http://www.redlake.ca,single-tier,municipality,Kenora,602.93,4778,4233,4526,4670,4107,4094,7.92,7.02,7.51,7.75,6.81,6.79,-0.1141,0.0692,0.0318,-0.1206,-0.0032
Red Rock,"48.95, -88.283333",https://www.redrocktownship.com,single-tier,township,Thunder Bay,62.10,1258,1233,1063,942,895,895,20.26,19.86,17.12,15.17,14.41,14.41,-0.0199,-0.1379,-0.1138,-0.0499,0.0000
Renfrew,"45.471667, -76.683056",https://www.renfrew.ca,lower-tier,town,Renfrew,12.81,8125,7942,7846,8218,8223,8190,634.27,619.98,612.49,641.53,641.92,639.34,-0.0225,-0.0121,0.0474,0.0006,-0.0040
Richmond Hill,"43.871389, -79.437222",https://www.richmondhill.ca,lower-tier,city,York,100.79,101725,132030,162704,185541,195022,202022,1009.28,1309.95,1614.29,1840.87,1934.93,2004.39,0.2979,0.2323,0.1404,0.0511,0.0359
Rideau Lakes,"44.666667, -76.216667",https://www.rideaulakes.ca,lower-tier,township,Leeds and Grenville,711.81,9564,9687,10350,10207,10326,10883,13.44,13.61,14.54,14.34,14.51,15.29,0.0129,0.0684,-0.0138,0.0117,0.0539
Russell,"45.256944, -75.358333",https://www.russell.ca,lower-tier,township,Prescott and Russell,198.78,11877,12412,13883,15247,16520,19598,59.75,62.44,69.84,76.70,83.11,98.59,0.0450,0.1185,0.0982,0.0835,0.1863
Ryerson,"45.586944, -79.511111",https://ryersontownship.ca,single-tier,township,Parry Sound,185.93,676,632,686,634,648,745,3.64,3.40,3.69,3.41,3.49,4.01,-0.0651,0.0854,-0.0758,0.0221,0.1497
Sables-Spanish Rivers,"46.233333, -82",https://www.sables-spanish.ca,single-tier,township,Sudbury,801.04,3332,3245,3237,3075,3188,3237,4.16,4.05,4.04,3.84,3.98,4.04,-0.0261,-0.0025,-0.0500,0.0367,0.0154
Sarnia,"42.981389, -82.317778",https://www.sarnia.ca,lower-tier,city,Lambton,163.90,72738,70876,71419,72366,71594,72047,443.79,432.43,435.75,441.53,436.82,439.58,-0.0256,0.0077,0.0133,-0.0107,0.0063
Saugeen Shores,"44.433333, -81.366667",https://www.saugeenshores.ca,lower-tier,town,Bruce,170.19,12084,11388,11720,12661,13715,15908,71.00,66.91,68.86,74.39,80.59,93.47,-0.0576,0.0292,0.0803,0.0832,0.1599
Sault Ste. Marie,"46.558889, -84.346944",https://saultstemarie.ca,single-tier,city,Algoma,221.99,80054,74566,74948,75141,73368,72051,360.62,335.90,337.62,338.49,330.50,324.57,-0.0686,0.0051,0.0026,-0.0236,-0.0180
Schreiber,"48.816667, -87.266667",https://www.schreiber.ca,single-tier,township,Thunder Bay,35.81,1788,1448,901,1126,1059,1039,49.93,40.44,25.16,31.44,29.57,29.01,-0.1902,-0.3778,0.2497,-0.0595,-0.0189
Scugog,"44.1403, -78.9153",https://www.scugog.ca,lower-tier,township,Durham,474.38,18837,20173,21439,21569,21617,21581,39.71,42.52,45.19,45.47,45.57,45.49,0.0709,0.0628,0.0061,0.0022,-0.0017
Seguin,"45.288203, -79.811561",https://www.seguin.ca,single-tier,township,Parry Sound,586.99,3654,3698,4276,3988,4304,5280,6.22,6.30,7.28,6.79,7.33,9.00,0.0120,0.1563,-0.0674,0.0792,0.2268
Selwyn,"44.416667, -78.333333",https://www.selwyntownship.ca,lower-tier,township,Peterborough,316.12,16109,16414,17027,16846,17060,18653,50.96,51.92,53.86,53.29,53.97,59.01,0.0189,0.0373,-0.0106,0.0127,0.0934
Severn,"44.75, -79.516667",https://www.severn.ca,lower-tier,township,Simcoe,523.06,10257,11135,12030,12377,13462,14576,19.61,21.29,23.00,23.66,25.74,27.87,0.0856,0.0804,0.0288,0.0877,0.0828
Shelburne,"44.083333, -80.2",http://www.townofshelburne.on.ca,lower-tier,town,Dufferin,6.56,3790,4122,5149,5846,8126,8994,577.74,628.35,784.91,891.16,1238.72,1371.04,0.0876,0.2492,0.1354,0.3900,0.1068
Shuniah,"48.583333, -88.833333",https://www.shuniah.org,single-tier,municipality,Thunder Bay,571.34,2346,2466,2913,2737,2798,3247,4.11,4.32,5.10,4.79,4.90,5.68,0.0512,0.1813,-0.0604,0.0223,0.1605
Sioux Lookout,"50.099722, -91.920556",https://www.siouxlookout.ca,single-tier,municipality,Kenora,378.02,3469,5336,5183,5037,5272,5839,9.18,14.12,13.71,13.32,13.95,15.45,0.5382,-0.0287,-0.0282,0.0467,0.1075
Sioux Narrows-Nestor Falls,"49.4, -94.08",https://www.snnf.ca,single-tier,township,Kenora,1215.80,794,577,672,720,567,727,0.65,0.47,0.55,0.59,0.47,0.60,-0.2733,0.1646,0.0714,-0.2125,0.2822
Smiths Falls,"44.9, -76.016667",https://smithsfalls.ca,single-tier,town,Lanark,9.66,9131,9140,9163,8978,8780,9254,945.24,946.17,948.55,929.40,908.90,957.97,0.0010,0.0025,-0.0202,-0.0221,0.0540
Smooth Rock Falls,"49.283333, -81.633333",https://www.smoothrockfalls.ca,single-tier,town,Cochrane,199.73,1982,1830,1473,1376,1330,1200,9.92,9.16,7.37,6.89,6.66,6.01,-0.0767,-0.1951,-0.0659,-0.0334,-0.0977
South Algonquin,"45.496667, -78.023889",https://www.southalgonquin.ca,single-tier,township,Nipissing,867.73,1333,1278,1253,1211,1096,1055,1.54,1.47,1.44,1.40,1.26,1.22,-0.0413,-0.0196,-0.0335,-0.0950,-0.0374
South Bruce,"44.033333, -81.2",https://www.southbruce.ca,lower-tier,municipality,Bruce,486.86,6248,6063,8415,8413,5639,5880,12.83,12.45,17.28,17.28,11.58,12.08,-0.0296,0.3879,-0.0002,-0.3297,0.0427
South Bruce Peninsula,"44.733333, -81.2",https://www.southbrucepeninsula.com,lower-tier,town,Bruce,530.61,8004,8090,5939,5685,8416,9137,15.08,15.25,11.19,10.71,15.86,17.22,0.0107,-0.2659,-0.0428,0.4804,0.0857
South Dundas,"44.916667, -75.266667",https://www.southdundas.com,lower-tier,municipality,"Stormont, Dundas and Glengarry",521.54,10900,10783,10535,10794,10852,11044,20.90,20.68,20.20,20.70,20.81,21.18,-0.0107,-0.0230,0.0246,0.0054,0.0177
South Frontenac,"44.5081, -76.4939",https://www.southfrontenac.net,lower-tier,township,Frontenac,948.05,15711,16415,18227,18113,18646,20188,16.57,17.31,19.23,19.11,19.67,21.29,0.0448,0.1104,-0.0063,0.0294,0.0827
South Glengarry,"45.2, -74.583333",https://www.southglengarry.com,lower-tier,township,"Stormont, Dundas and Glengarry",605.02,12649,12700,12880,13162,13150,13330,20.91,20.99,21.29,21.75,21.73,22.03,0.0040,0.0142,0.0219,-0.0009,0.0137
South Huron,"43.32, -81.5",https://www.southhuron.ca,lower-tier,municipality,Huron,425.12,10229,10019,9982,9945,10096,10063,24.06,23.57,23.48,23.39,23.75,23.67,-0.0205,-0.0037,-0.0037,0.0152,-0.0033
South River,"45.841667, -79.375",https://southriver.ca,single-tier,village,Parry Sound,4.11,1098,1040,1069,1049,1114,1101,267.15,253.04,260.10,255.23,271.05,267.88,-0.0528,0.0279,-0.0187,0.0620,-0.0117
South Stormont,"45.083333, -74.966667",https://www.southstormont.ca,lower-tier,township,"Stormont, Dundas and Glengarry",447.71,11584,11941,12520,12617,13110,13570,25.87,26.67,27.96,28.18,29.28,30.31,0.0308,0.0485,0.0077,0.0391,0.0351
Southgate,"44.1, -80.583333",https://www.southgate.ca,lower-tier,township,Grey,643.08,6449,6907,7072,7190,7354,8716,10.03,10.74,11.00,11.18,11.44,13.55,0.0710,0.0239,0.0167,0.0228,0.1852
Southwest Middlesex,"42.75, -81.7",https://southwestmiddlesex.ca,lower-tier,municipality,Middlesex,427.82,6204,6144,5890,5860,5723,5893,14.50,14.36,13.77,13.70,13.38,13.77,-0.0097,-0.0413,-0.0051,-0.0234,0.0297
South-West Oxford,"42.95, -80.8",https://www.swox.org,lower-tier,township,Oxford,369.61,8441,7782,7589,7544,7634,7583,22.84,21.05,20.53,20.41,20.65,20.52,-0.0781,-0.0248,-0.0059,0.0119,-0.0067
Southwold,"42.75, -81.316667",https://www.southwold.ca,lower-tier,township,Elgin,301.38,4282,4487,4724,4494,4421,4851,14.21,14.89,15.67,14.91,14.67,16.10,0.0479,0.0528,-0.0487,-0.0162,0.0973
Spanish,"46.1946, -82.3422",https://www.townofspanish.com,single-tier,town,Algoma,106.90,899,816,728,696,712,670,8.41,7.63,6.81,6.51,6.66,6.27,-0.0923,-0.1078,-0.0440,0.0230,-0.0590
Springwater,"44.433333, -79.733333",https://www.springwater.ca,lower-tier,township,Simcoe,535.85,14793,16104,17456,18223,19059,21701,27.61,30.05,32.58,34.01,35.57,40.50,0.0886,0.0840,0.0439,0.0459,0.1386
St. Catharines,"43.158333, -79.245833",https://www.stcatharines.ca,lower-tier,city,Niagara,96.20,130926,129170,131989,131400,133113,136803,1360.98,1342.72,1372.03,1365.90,1383.71,1422.07,-0.0134,0.0218,-0.0045,0.0130,0.0277
St. Clair,"42.783333, -82.35",https://www.stclairtownship.ca,lower-tier,township,Lambton,618.57,15081,14659,14649,14515,14086,14659,24.38,23.70,23.68,23.47,22.77,23.70,-0.0280,-0.0007,-0.0091,-0.0296,0.0407
